PriceRange,ReleaseYear,Camera,AvailableColors,Ram_GB,NetworkSupport,BluetoothVersion,Rom_GB,BatteryCapacity,VideoRes,NumOfSensors,FastCharging,WR_version,OTG,USB_Version,TypeC,NFC,Display,Protection,Chipset,Processor,GPU,Fingerprint,FaceLock
4.0,2018.0,8.0,4.0,6.0,3.0,5.0,128.0,4000.0,1440.0,9.0,15.0,68.0,1,3.1,1,1,Super AMOLED Touchscreen,1,Exynos 9810 (10 nm),"Octa core, up to 2.4 GHz",Mali-G72 MP18,1,1
2.0,2019.0,32.0,4.0,6.0,3.0,5.0,64.0,4000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Exynos 9611 (10 nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
1.0,2019.0,16.0,4.0,4.0,3.0,4.2,32.0,4000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 7904 (14 nm),"Octa core, up to 1.8 GHz",Mali-G71 MP2,1,1
1.0,2019.0,8.0,4.0,4.0,3.0,4.2,32.0,4000.0,0.0,5.0,15.0,0.0,1,2.0,1,0,IPS LCS Touchscreen,0,Qualcomm Snapdragon 450 (14 nm),"Octa core, 1.8 GHz",Adreno 506,1,1
1.0,2019.0,8.0,4.0,3.0,3.0,5.0,32.0,4000.0,1080.0,5.0,0.0,0.0,1,2.0,0,0,IPS LCS Touchscreen,0,Mediatek MT6762 Helio P22 (12 nm),"Octa core, up to 2.0 GHz",PowerVR GE8320,1,1
3.0,2019.0,0.0,3.0,8.0,3.0,5.0,128.0,3700.0,0.0,5.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Qualcomm Snapdragon 730 (8 nm),"Octa core, up to 2.2 GHz",Adreno 618,1,1
1.0,2019.0,25.0,3.0,4.0,3.0,5.0,64.0,4000.0,1080.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 9610 Octa (10nm),"Octa core, up to 2.3 GHz",Mali-G72 MP3,1,1
2.0,2019.0,32.0,4.0,6.0,3.0,5.0,128.0,4500.0,1080.0,5.0,25.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Qualcomm Snapdragon 675 (11 nm),"Octa core, up to 2.0 GHz",Adreno 612,1,1
1.0,2019.0,8.0,2.0,3.0,3.0,5.0,32.0,4000.0,0.0,5.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,0,Exynos 7884 Octa (14 nm),"Octa core, up to 1.6 GHz",Mali-G71 MP2,1,1
1.0,2019.0,5.0,3.0,2.0,3.0,5.0,32.0,3400.0,0.0,2.0,0.0,0.0,1,2.0,0,0,TFT Touchscreen,0,Exynos 7884 Octa,"Octa core, up to 1.6 GHz",Mali-G71 MP2,0,1
1.0,2019.0,16.0,3.0,4.0,3.0,5.0,64.0,4000.0,1080.0,6.0,15.0,0.0,1,2.0,1,0,Super AMOLED Touchscreen,1,Exynos 7904 Octa (14nm),"Octa core, up to 1.8 GHz",Mali-G71 MP2,1,1
4.0,2019.0,10.0,3.0,8.0,3.0,5.0,128.0,3400.0,2160.0,7.0,15.0,68.0,1,3.1,1,0,Dynamic AMOLED Touchscreen,1,Exynos 9820 Octa (8 nm),"Octa core, up to 2.73 GHz",Mali-G76 MP12,1,1
